"deaths","district_code","year","population"
92,"SV_1","1849",8345
113,"SV_2","1849",9217
179,"SV_3","1849",8924
44,"SV_4","1849",8643
150,"SV_5","1849",8890
137,"SV_6","1849",11182
173,"SV_7","1849",10492
105,"SV_8","1849",10005
139,"SV_9","1849",9819
133,"SV_10","1849",11057
93,"SV_11","1849",8339
180,"SV_12","1849",9383
178,"SV_13","1849",11257
155,"SV_14","1849",8944
199,"SV_15","1849",9828
148,"SV_16","1849",9132
56,"SV_17","1849",8285
91,"SV_18","1849",8676
59,"SV_19","1849",9129
96,"SV_20","1849",8828
